customer_id,monetary_DNN,monetary_btyd,frequency_DNN,frequency_btyd,recency,t,time_between,avg_basket_value,avg_basket_size,cnt_returns,has_returned,frequency_btyd_clipped,monetary_btyd_clipped,target_monetary_clipped,target_monetary
12429,2844.88,781.69,3,2,193,266,64.0,948.29,348.33,0,0,2,781.69,3750.4,3750.4
12431,4803.51,370.4383333333333,13,12,254,274,19.0,369.5,158.31,2,1,12,370.44,6416.39,6416.39
12432,4016.66,700.0,2,1,2,73,1.0,2008.33,713.5,0,0,1,700.0,5059.32,5059.32
12433,3787.12,1867.98,2,1,7,274,3.0,1893.56,1791.0,0,0,1,1867.98,13375.87,13375.87
12437,2421.98,253.66,9,8,154,232,17.0,269.11,182.0,1,1,8,253.66,4896.66,4896.66
12444,2627.27,757.07,2,1,50,72,25.0,1313.64,325.0,0,0,1,757.07,5005.46,5005.46
12449,1636.88,777.95,2,1,58,88,29.0,818.44,328.5,0,0,1,777.95,4067.29,4067.29
12450,197.88,96.0,2,1,17,74,8.0,98.94,64.0,0,0,1,96.0,197.88,197.88
12451,5205.82,1143.155,3,2,177,225,59.0,1735.27,1328.33,1,1,2,1143.16,8933.52,8933.52
12455,2176.36,123.115,5,4,169,197,33.0,435.27,353.2,0,0,4,123.12,2466.86,2466.86
12456,2238.25,649.04,3,2,146,155,48.0,746.08,352.0,1,1,2,649.04,3153.89,3153.89
12457,832.6,54.45,4,3,110,140,27.0,208.15,71.75,2,1,3,54.45,1917.78,1917.78
12463,974.39,209.94,4,3,66,142,16.0,243.6,142.75,1,1,3,209.94,1303.63,1303.63
12464,780.55,141.6625,5,4,203,210,40.0,156.11,16.2,0,0,4,141.66,1212.05,1212.05
12468,724.04,251.725,3,2,173,217,57.0,241.35,121.33,1,1,2,251.73,724.04,724.04
12471,10420.32,434.88833333333326,25,24,265,273,10.0,416.81,168.24,13,1,24,434.89,18740.92,18740.92
12472,4628.63,593.86625,9,8,235,274,26.0,514.29,330.56,4,1,8,593.87,6229.48,6229.48
12473,1109.79,236.8,3,2,77,92,25.0,369.93,268.33,1,1,2,236.8,2848.23,2848.23
12474,3747.76,252.1173333333333,16,15,269,269,16.0,234.24,152.69,6,1,15,252.12,7116.47,7116.47
12476,3060.97,384.1775,9,8,234,262,26.0,340.11,123.22,4,1,8,384.18,6546.58,6546.58
12477,8824.48,2207.17,5,4,211,212,42.0,1764.9,502.6,2,1,4,2207.17,13117.01,13117.01
12480,2144.95,664.35,3,2,193,237,64.0,714.98,365.33,0,0,2,664.35,3281.63,3281.63
12481,4096.3,656.1533333333333,7,6,186,266,26.0,585.19,335.29,1,1,6,656.15,5590.86,5590.86
12483,1257.61,125.00833333333333,7,6,156,240,22.0,179.66,89.14,2,1,6,125.01,2327.13,2327.13
12484,3626.65,621.995,5,4,236,237,47.0,725.33,370.8,1,1,4,622.0,4495.27,4495.27
12490,2516.77,413.1375,5,4,229,230,45.0,503.35,272.0,0,0,4,413.14,5417.93,5417.93
12493,416.79,92.145,3,2,32,98,10.0,138.93,68.67,1,1,2,92.15,416.79,416.79
12494,819.91,108.90142857142855,8,7,208,266,26.0,102.49,44.0,4,1,7,108.9,1139.35,1139.35
12500,1773.84,285.78,6,5,227,234,37.0,295.64,211.67,0,0,5,285.78,4206.27,4206.27
12502,2631.52,671.4233333333333,4,3,182,210,45.0,657.88,146.5,0,0,3,671.42,3723.87,3723.87
12507,1258.06,811.9,2,1,164,199,82.0,629.03,447.0,0,0,1,811.9,1258.06,1258.06
12510,982.57,301.52,2,1,183,226,91.0,491.29,176.5,0,0,1,301.52,982.57,982.57
12517,1538.7,771.75,2,1,64,91,32.0,769.35,420.5,0,0,1,771.75,2464.89,2464.89
12520,1994.1,251.67,5,4,131,174,26.0,398.82,218.0,1,1,4,251.67,2582.51,2582.51
12523,1017.75,152.46666666666667,7,6,224,232,32.0,145.39,80.0,0,0,6,152.47,1745.57,1745.57
12524,3122.48,557.018,6,5,171,234,28.0,520.41,381.67,0,0,5,557.02,4485.72,4485.72
12527,284.92,152.4,2,1,31,226,15.0,142.46,110.5,0,0,1,152.4,348.71,348.71
12528,1276.17,156.528,6,5,200,213,33.0,212.7,82.83,2,1,5,156.53,1922.28,1922.28
12530,1183.0,265.2,4,3,228,237,57.0,295.75,146.75,1,1,3,265.2,1623.63,1623.63
12539,2801.84,1085.99,2,1,71,234,35.0,1400.92,489.0,0,0,1,1085.99,3852.5,3852.5
12540,8721.17,784.016,11,10,254,262,23.0,792.83,380.36,1,1,10,784.02,13309.04,13309.04
12541,536.14,223.74,2,1,107,181,53.0,268.07,209.5,0,0,1,223.74,981.18,981.18
12553,2387.19,240.9828571428572,8,7,219,230,27.0,298.4,163.63,2,1,7,240.98,3656.15,3656.15
12557,9000.96,2793.653333333333,4,3,213,272,53.0,2250.24,866.0,0,0,3,2793.65,11990.96,11990.96
12560,1403.69,55.69,3,2,43,44,14.0,467.9,262.67,1,1,2,55.69,2101.39,2101.39
12562,1605.23,580.135,3,2,72,99,24.0,535.08,258.67,0,0,2,580.14,3781.74,3781.74
12567,6671.82,857.4833333333332,7,6,261,270,37.0,953.12,401.14,0,0,6,857.48,9114.94,9114.94
12569,1841.32,149.264,11,10,145,153,13.0,167.39,71.0,1,1,10,149.26,4064.99,4064.99
12576,652.0,128.38333333333333,4,3,167,205,41.0,163.0,115.0,1,1,3,128.38,1306.98,1306.98
12583,4214.21,373.15,10,9,267,274,26.0,421.42,346.2,1,1,9,373.15,7187.34,7187.34
12584,688.29,44.932,6,5,153,181,25.0,114.72,21.0,3,1,5,44.93,1893.95,1893.95
12593,418.1,91.05,3,2,110,119,36.0,139.37,68.67,0,0,2,91.05,418.1,418.1
12594,2511.9,361.81666666666666,7,6,201,223,28.0,358.84,205.57,0,0,6,361.82,3320.22,3320.22
12597,1428.81,912.66,2,1,85,169,42.0,714.41,337.5,0,0,1,912.66,3683.13,3683.13
12598,1563.98,281.04,4,3,123,185,30.0,391.0,236.75,1,1,3,281.04,3002.68,3002.68
12599,857.04,131.036,6,5,178,205,29.0,142.84,124.83,0,0,5,131.04,1032.58,1032.58
12600,1918.56,230.2575,9,8,259,272,28.0,213.17,60.33,1,1,8,230.26,2581.04,2581.04
12609,800.73,512.8,2,1,132,219,66.0,400.37,259.0,0,0,1,512.8,1126.85,1126.85
12610,1244.7,148.975,3,2,20,27,6.0,414.9,204.0,1,1,2,148.98,2057.99,2057.99
12613,1462.52,640.86,2,1,65,163,32.0,731.26,379.5,0,0,1,640.86,3218.98,3218.98
12619,1697.78,497.26666666666665,4,3,137,154,34.0,424.45,438.75,0,0,3,497.27,3214.81,3214.81
12621,10173.29,693.4771428571429,15,14,265,266,17.0,678.22,361.33,2,1,14,693.48,13612.07,13612.07
12624,641.13,341.19,2,1,71,78,35.0,320.57,177.5,0,0,1,341.19,641.13,641.13
12626,4541.87,382.87444444444446,10,9,214,227,21.0,454.19,223.4,4,1,9,382.87,6388.35,6388.35
12627,1908.57,380.1833333333333,4,3,32,41,8.0,477.14,254.0,0,0,3,380.18,4478.53,4478.53
12633,1925.4,304.1933333333333,4,3,158,188,39.0,481.35,263.75,1,1,3,304.19,2140.63,2140.63
12637,2985.45,367.1925,5,4,166,224,33.0,597.09,278.8,1,1,4,367.19,5953.25,5953.25
12643,3344.64,618.36,5,4,204,233,40.0,668.93,361.6,0,0,4,618.36,3344.64,3344.64
12645,1291.06,307.25333333333333,4,3,217,217,54.0,322.77,203.25,1,1,3,307.25,1755.38,1755.38
12647,2833.81,307.72625,9,8,243,270,27.0,314.87,114.22,1,1,8,307.73,3669.92,3669.92
12649,603.71,311.755,3,2,258,266,86.0,201.24,191.33,1,1,2,311.76,603.71,603.71
12653,2209.85,1430.75,2,1,148,197,74.0,1104.93,459.5,0,0,1,1430.75,2209.85,2209.85
12654,337.75,171.15,2,1,98,196,49.0,168.88,75.5,0,0,1,171.15,601.98,601.98
12656,2760.72,699.7425,5,4,126,143,25.0,552.14,253.4,2,1,4,699.74,3982.72,3982.72
12662,2620.96,337.06857142857143,8,7,266,274,33.0,327.62,172.75,1,1,7,337.07,3817.08,3817.08
12664,1957.48,647.95,3,2,179,223,59.0,652.49,168.33,0,0,2,647.95,4863.88,4863.88
12668,2889.67,806.6,4,3,107,256,26.0,722.42,327.5,1,1,3,806.6,3743.18,3743.18
12669,1607.73,471.43,2,1,106,157,53.0,803.87,557.0,0,0,1,471.43,1607.73,1607.73
12670,1026.39,393.34,2,1,33,133,16.0,513.2,244.0,0,0,1,393.34,2986.15,2986.15
12674,946.8,180.03,3,2,45,108,15.0,315.6,156.67,1,1,2,180.03,1919.31,1919.31
12676,998.05,162.85,4,3,188,212,47.0,249.51,123.5,0,0,3,162.85,1331.39,1331.39
12678,8242.06,1145.8257142857142,8,7,253,254,31.0,1030.26,646.38,1,1,7,1145.83,17588.26,17588.26
12679,869.13,37.535,3,2,78,184,26.0,289.71,130.67,1,1,2,37.54,1058.67,1058.67
12681,9824.08,517.0917647058824,18,17,216,268,12.0,545.78,300.5,3,1,17,517.09,13677.59,13677.59
12682,8219.92,463.7458823529412,18,17,271,272,15.0,456.66,196.17,0,0,17,463.75,12288.22,12288.22
12683,6146.13,508.305,11,10,260,266,23.0,558.74,342.0,3,1,10,508.31,8221.09,8221.09
12684,1379.48,296.7933333333333,4,3,43,114,10.0,344.87,318.5,0,0,3,296.79,2283.63,2283.63
12691,556.3,125.43333333333332,4,3,212,258,53.0,139.08,49.5,0,0,3,125.43,1035.8,1035.8
12693,830.96,133.782,6,5,199,220,33.0,138.49,41.67,2,1,5,133.78,830.96,830.96
12695,333.9,244.65,2,1,103,111,51.0,166.95,86.0,0,0,1,244.65,582.1,582.1
12697,724.01,166.755,3,2,55,70,18.0,241.34,117.67,1,1,2,166.76,939.02,939.02
12700,2113.05,1056.62,2,1,59,116,29.0,1056.53,687.0,0,0,1,1056.62,4867.99,4867.99
12704,1100.92,385.68,3,2,64,70,21.0,366.97,155.0,0,0,2,385.68,2220.84,2220.84
12705,4117.17,543.195,7,6,214,258,30.0,588.17,368.43,3,1,6,543.2,6814.24,6814.24
12708,1946.88,175.044,11,10,267,269,24.0,176.99,87.09,4,1,10,175.04,2616.32,2616.32
12709,6093.67,371.398,16,15,247,267,15.0,380.85,157.69,6,1,15,371.4,9294.1,9294.1
12710,771.91,26.475,3,2,40,102,13.0,257.3,148.33,1,1,2,26.48,1130.57,1130.57
12712,3783.58,277.5423076923077,14,13,265,272,18.0,270.26,66.14,3,1,13,277.54,4241.63,4241.63
12714,3389.7,807.1333333333333,4,3,188,195,47.0,847.43,564.5,0,0,3,807.13,4708.86,4708.86
12717,980.98,371.24,2,1,94,146,47.0,490.49,252.5,0,0,1,371.24,980.98,980.98
12720,3290.55,216.70461538461532,14,13,245,270,17.0,235.04,195.64,1,1,13,216.7,5713.28,5713.28
12721,1671.76,424.7275,5,4,182,266,36.0,334.35,225.6,1,1,4,424.73,2628.98,2628.98
12722,836.35,133.3575,5,4,36,51,7.0,167.27,110.6,2,1,4,133.36,904.33,904.33
12724,280.36,125.46,2,1,159,233,79.0,140.18,89.0,0,0,1,125.46,1031.41,1031.41
12726,1467.32,324.26,5,4,173,258,34.0,293.46,388.4,0,0,4,324.26,2609.1,2609.1
12727,2767.4,563.225,5,4,133,221,26.0,553.48,319.0,1,1,4,563.23,3947.7,3947.7
12728,617.31,182.385,3,2,75,233,25.0,205.77,85.33,0,0,2,182.39,836.33,836.33
12731,11238.25,1452.3357142857142,8,7,220,265,27.0,1404.78,672.25,1,1,7,1452.34,18793.41,18793.41
12744,8121.13,3034.03,3,2,174,219,58.0,2707.04,1545.0,0,0,2,3034.03,9120.39,9120.39
12747,2769.4,344.4057142857143,8,7,260,270,32.0,346.18,107.75,0,0,7,344.41,4196.01,4196.01
12748,13101.77,192.60029411764705,69,68,272,274,3.0,189.88,119.88,1,1,68,192.6,30922.14,30922.14
12749,2532.55,418.3625,5,4,100,114,20.0,506.51,206.2,3,1,4,418.36,3868.2,3868.2
12753,16332.46,1820.2671428571427,8,7,254,263,31.0,2041.56,1136.13,4,1,7,1820.27,21024.01,21024.01
12757,1651.68,262.2125,5,4,83,112,16.0,330.34,180.2,2,1,4,262.21,4227.7,4227.7
12758,2791.59,1221.4,2,1,160,177,80.0,1395.8,1067.5,0,0,1,1221.4,2791.59,2791.59
12759,1082.52,637.72,2,1,104,176,52.0,541.26,315.0,0,0,1,637.72,1531.44,1531.44
12763,494.08,174.0,2,1,231,270,115.0,247.04,158.0,0,0,1,174.0,494.08,494.08
12766,4952.19,950.725,5,4,217,267,43.0,990.44,499.0,0,0,4,950.73,6989.63,6989.63
12775,1129.88,228.8575,5,4,122,212,24.0,225.98,143.2,1,1,4,228.86,1351.24,1351.24
12778,492.06,119.19333333333331,4,3,129,213,32.0,123.02,114.5,0,0,3,119.19,804.23,804.23
12779,2906.11,379.70714285714286,8,7,180,272,22.0,363.26,170.63,2,1,7,379.71,3868.7,3868.7
12782,2021.07,389.3925,5,4,208,258,41.0,404.21,188.4,1,1,4,389.39,2273.32,2273.32
12808,281.35,151.95,2,1,184,269,92.0,140.68,54.0,0,0,1,151.95,483.65,483.65
12815,1063.46,448.1,2,1,51,99,25.0,531.73,189.5,0,0,1,448.1,1063.46,1063.46
12823,1224.0,306.0,4,3,169,197,42.0,306.0,40.0,0,0,3,306.0,1759.5,1759.5
12826,812.02,164.255,5,4,197,266,39.0,162.4,143.4,1,1,4,164.26,1468.12,1468.12
12828,415.51,94.255,3,2,31,31,10.0,138.5,52.33,0,0,2,94.26,1018.71,1018.71
12830,5137.76,971.9733333333332,4,3,37,72,9.0,1284.44,1585.75,1,1,3,971.97,6748.4,6748.4
12836,2112.53,632.92,3,2,174,212,58.0,704.18,286.0,0,0,2,632.92,2612.86,2612.86
12839,2680.51,284.7375,9,8,254,268,28.0,297.83,198.11,1,1,8,284.74,5583.62,5583.62
12840,2714.27,372.04,6,5,83,127,13.0,452.38,250.83,2,1,5,372.04,2714.27,2714.27
12841,2851.44,159.824375,17,16,265,272,15.0,167.73,107.06,0,0,16,159.82,3876.4,3876.4
12843,1670.81,262.90166666666664,7,6,105,165,15.0,238.69,107.43,0,0,6,262.9,1680.76,1680.76
12853,1881.7,290.86,6,5,208,216,34.0,313.62,130.33,3,1,5,290.86,1881.7,1881.7
12854,775.02,401.82,2,1,77,219,38.0,387.51,208.5,0,0,1,401.82,1289.15,1289.15
12867,2344.2,497.415,5,4,195,261,39.0,468.84,519.2,0,0,4,497.42,3986.22,3986.22
12875,343.23,49.47,2,1,219,263,109.0,171.62,1009.5,0,0,1,49.47,343.23,343.23
12877,1059.23,113.64625,9,8,234,259,26.0,117.69,78.33,0,0,8,113.65,1535.77,1535.77
12878,854.99,539.81,2,1,30,167,15.0,427.5,273.5,0,0,1,539.81,841.64,841.64
12901,10584.03,487.34428571428566,22,21,170,171,7.0,481.09,482.73,6,1,21,487.34,16293.1,16293.1
12909,1485.92,194.15666666666664,4,3,62,154,15.0,371.48,194.75,2,1,3,194.16,2128.83,2128.83
12910,1486.9,383.34,3,2,107,142,35.0,495.63,276.67,0,0,2,383.34,3075.04,3075.04
12913,866.39,224.385,3,2,86,269,28.0,288.8,115.0,0,0,2,224.39,2483.63,2483.63
12915,363.65,164.0,2,1,224,273,112.0,181.83,46.5,0,0,1,164.0,363.65,363.65
12916,2982.35,711.5,4,3,182,221,45.0,745.59,277.75,0,0,3,711.5,2982.35,2982.35
12919,425.75,73.18333333333332,4,3,53,70,13.0,106.44,50.25,1,1,3,73.18,1301.44,1301.44
12921,8776.4,367.5652173913043,24,23,245,274,10.0,365.68,224.29,10,1,23,367.57,16389.74,16389.74
12924,651.52,197.77666666666664,4,3,129,228,32.0,162.88,71.0,1,1,3,197.78,929.95,929.95
12928,1136.14,371.9,3,2,212,260,70.0,378.71,230.0,0,0,2,371.9,2062.7,2062.7
12931,24987.75,2756.75,10,9,257,258,25.0,2498.78,1750.5,2,1,9,2756.75,33462.81,33462.81
12933,356.24,246.74,2,1,112,184,56.0,178.12,188.5,0,0,1,246.74,606.28,606.28
12935,1531.09,274.865,5,4,210,220,42.0,306.22,253.4,1,1,4,274.87,2156.45,2156.45
12937,428.23,210.8,2,1,70,168,35.0,214.12,134.0,0,0,1,210.8,1504.27,1504.27
12939,7990.08,2018.96,4,3,196,235,49.0,1997.52,802.0,0,0,3,2018.96,11581.8,11581.8
12942,683.9,212.575,3,2,234,266,78.0,227.97,67.67,0,0,2,212.58,683.9,683.9
12947,1407.29,110.325,11,10,230,274,20.0,127.94,105.18,5,1,10,110.33,1407.29,1407.29
12948,1412.71,260.2275,5,4,164,165,32.0,282.54,159.2,1,1,4,260.23,2053.7,2053.7
12949,3425.22,378.184,6,5,138,153,23.0,570.87,338.33,2,1,5,378.18,4143.02,4143.02
12951,729.78,90.18166666666666,7,6,167,231,23.0,104.25,46.86,2,1,6,90.18,1042.07,1042.07
12955,1324.02,121.45714285714284,8,7,161,168,20.0,165.5,135.0,3,1,7,121.46,4734.26,4734.26
12957,1699.44,257.152,6,5,153,240,25.0,283.24,206.17,2,1,5,257.15,3979.04,3979.04
12967,1630.95,131.275,3,2,69,272,23.0,543.65,145.67,1,1,2,131.28,1194.75,1194.75
12971,7748.17,157.2051020408163,50,49,273,273,5.0,154.96,114.64,1,1,49,157.21,10851.66,10851.66
12980,7092.06,563.8854545454545,12,11,203,259,16.0,591.01,72.0,3,1,11,563.89,7092.06,7092.06
12989,4462.84,532.5425,9,8,207,265,23.0,495.87,227.0,2,1,8,532.54,6854.51,6854.51
12990,263.9,166.4,2,1,125,211,62.0,131.95,65.0,0,0,1,166.4,409.5,409.5
12993,372.4,134.75,3,2,178,199,59.0,124.13,68.0,0,0,2,134.75,414.76,414.76
12994,573.27,73.55666666666666,4,3,161,169,40.0,143.32,71.0,2,1,3,73.56,902.22,902.22
12997,583.27,92.57333333333332,4,3,84,218,21.0,145.82,71.75,2,1,3,92.57,1197.94,1197.94
13000,534.85,166.55,3,2,258,265,86.0,178.28,126.33,0,0,2,166.55,534.85,534.85
13001,8594.52,778.907,11,10,168,227,15.0,781.32,442.82,0,0,10,778.91,9797.92,9797.92
13003,149.05,45.0,3,2,109,115,36.0,49.68,34.33,0,0,2,45.0,149.05,149.05
13004,3748.49,242.24857142857144,15,14,243,258,16.0,249.9,217.53,3,1,14,242.25,5613.43,5613.43
13005,468.95,73.65,3,2,73,147,24.0,156.32,55.67,1,1,2,73.65,468.95,468.95
13012,677.09,59.964,6,5,146,195,24.0,112.85,60.33,2,1,5,59.96,1311.62,1311.62
13013,3358.84,228.8125,9,8,264,272,29.0,373.2,185.0,2,1,8,228.81,4786.99,4786.99
13014,1962.23,180.85625,9,8,168,182,18.0,218.03,67.0,4,1,8,180.86,3365.43,3365.43
13015,1763.04,549.135,3,2,52,150,17.0,587.68,235.0,0,0,2,549.14,3346.28,3346.28
13018,4783.9,342.5153846153846,14,13,173,196,12.0,341.71,255.36,1,1,13,342.52,7272.75,7272.75
13021,1120.49,190.12833333333333,7,6,208,266,29.0,160.07,73.0,3,1,6,190.13,2584.4,2584.4
13026,243.72,159.36,2,1,55,176,27.0,121.86,174.0,0,0,1,159.36,936.15,936.15
13027,6912.0,1094.4,6,5,241,255,40.0,1152.0,2880.0,0,0,5,1094.4,6912.0,6912.0
13029,773.2,390.7,2,1,215,254,107.0,386.6,46.0,0,0,1,390.7,1247.5,1247.5
13037,881.07,315.325,3,2,118,157,39.0,293.69,143.67,0,0,2,315.33,881.07,881.07
13038,591.76,196.66,2,1,107,191,53.0,295.88,140.0,0,0,1,196.66,908.46,908.46
13047,2559.42,219.279,11,10,260,274,23.0,232.67,103.18,5,1,10,219.28,3089.1,3089.1
13048,1345.05,289.14666666666665,4,3,215,228,53.0,336.26,237.25,1,1,3,289.15,1805.91,1805.91
13050,4378.59,213.1884210526316,20,19,266,267,13.0,218.93,133.7,7,1,19,213.19,5684.61,5684.61
13064,659.25,455.95,2,1,175,228,87.0,329.63,142.0,0,0,1,455.95,1119.49,1119.49
13069,3483.06,210.0373333333333,16,15,270,270,16.0,217.69,306.81,0,0,15,210.04,3740.52,3740.52
13077,577.44,263.72,2,1,76,267,38.0,288.72,303.5,0,0,1,263.72,729.27,729.27
13078,6772.57,260.7575,25,24,266,267,10.0,270.9,98.6,10,1,24,260.76,12432.28,12432.28
13081,18565.97,1619.919,11,10,242,272,22.0,1687.82,1144.91,5,1,10,1619.92,27964.48,27964.48
13082,3595.48,459.4342857142857,8,7,212,239,26.0,449.44,539.13,1,1,7,459.43,3595.48,3595.48
13089,41916.99,664.2353225806452,63,62,270,270,4.0,665.35,373.89,16,1,62,664.24,57385.88,57385.88
13090,4704.84,504.9155555555556,10,9,260,273,26.0,470.48,107.1,2,1,9,504.92,8689.39,8689.39
13092,421.75,59.075,5,4,148,260,29.0,84.35,17.4,1,1,4,59.08,459.83,459.83
13094,1327.26,91.965,13,12,239,269,18.0,102.1,90.92,3,1,12,91.97,1708.86,1708.86
13097,4562.71,608.2585714285714,8,7,238,261,29.0,570.34,230.75,1,1,7,608.26,5893.32,5893.32
13098,14283.39,652.092380952381,22,21,204,218,9.0,649.25,373.41,5,1,21,652.09,28658.88,28658.88
13102,4873.9,284.8175,17,16,232,266,13.0,286.7,195.12,3,1,16,284.82,6336.29,6336.29
13104,376.44,137.34,3,2,221,255,73.0,125.48,60.0,0,0,2,137.34,1098.48,1098.48
13107,927.67,180.415,3,2,158,234,52.0,309.22,270.33,1,1,2,180.42,1524.07,1524.07
13110,1006.44,183.7225,5,4,174,212,34.0,201.29,54.0,1,1,4,183.72,1452.87,1452.87
13113,9695.39,550.2511764705881,18,17,253,267,14.0,538.63,137.22,0,0,17,550.25,10463.58,10463.58
13117,841.77,106.60833333333332,7,6,251,273,35.0,120.25,100.43,0,0,6,106.61,984.91,984.91
13118,786.29,304.385,3,2,80,189,26.0,262.1,88.33,0,0,2,304.39,1125.0,1125.0
13124,2574.12,1317.8,2,1,107,260,53.0,1287.06,811.5,0,0,1,1317.8,3866.33,3866.33
13126,1054.02,207.645,5,4,113,267,22.0,210.8,210.0,1,1,4,207.65,2056.29,2056.29
13134,849.79,174.795,3,2,57,141,19.0,283.26,106.33,1,1,2,174.8,1740.63,1740.63
13136,1188.43,302.1325,5,4,231,266,46.0,237.69,134.0,3,1,4,302.13,2545.38,2545.38
13137,1457.75,413.27333333333326,4,3,205,209,51.0,364.44,222.0,0,0,3,413.27,3605.08,3605.08
13138,489.45,148.11,3,2,239,273,79.0,163.15,81.0,0,0,2,148.11,962.39,962.39
13139,1710.94,650.72,3,2,150,160,50.0,570.31,242.0,0,0,2,650.72,5055.79,5055.79
13140,423.72,132.105,3,2,258,267,86.0,141.24,62.0,0,0,2,132.11,423.72,423.72
13141,1398.08,291.17,4,3,101,216,25.0,349.52,235.25,1,1,3,291.17,2385.8,2385.8
13145,413.8,118.8,2,1,245,273,122.0,206.9,12.5,0,0,1,118.8,614.77,614.77
13148,2431.23,265.22875,9,8,257,265,28.0,270.14,137.0,3,1,8,265.23,3348.48,3348.48
13149,1132.62,377.94,3,2,183,190,61.0,377.54,294.67,0,0,2,377.94,1676.06,1676.06
13155,569.2,189.5,2,1,42,269,21.0,284.6,131.0,0,0,1,189.5,971.76,971.76
13157,853.55,218.57666666666665,4,3,157,199,39.0,213.39,194.75,1,1,3,218.58,1721.57,1721.57
13158,868.17,305.88,3,2,199,219,66.0,289.39,173.0,0,0,2,305.88,1201.06,1201.06
13159,793.49,168.09,3,2,10,16,3.0,264.5,204.67,1,1,2,168.09,1379.75,1379.75
13162,1644.99,222.9325,5,4,212,235,42.0,329.0,332.6,1,1,4,222.93,1644.99,1644.99
13167,417.55,174.64,2,1,13,44,6.0,208.78,223.5,0,0,1,174.64,791.33,791.33
13168,963.61,165.715,3,2,119,219,39.0,321.2,185.0,0,0,2,165.72,1310.14,1310.14
13174,2108.27,692.3,2,1,53,270,26.0,1054.14,485.0,0,0,1,692.3,2817.03,2817.03
13178,4391.73,525.9614285714285,8,7,227,261,28.0,548.97,324.88,0,0,7,525.96,5725.47,5725.47
13183,2394.98,353.988,6,5,233,235,38.0,399.16,241.33,0,0,5,353.99,3957.78,3957.78
13184,1451.94,177.06,8,7,160,191,20.0,181.49,192.13,0,0,7,177.06,1648.79,1648.79
13198,2998.23,522.736,6,5,241,262,40.0,499.71,394.67,1,1,5,522.74,3384.09,3384.09
13199,4540.68,214.3157894736842,20,19,263,267,13.0,227.03,174.4,1,1,19,214.32,9803.96,9803.96
13203,309.86,144.15,2,1,122,143,61.0,154.93,137.0,0,0,1,144.15,869.46,869.46
13208,835.07,222.20666666666665,4,3,154,210,38.0,208.77,143.25,0,0,3,222.21,1217.42,1217.42
13209,4084.63,537.9685714285714,8,7,254,262,31.0,510.58,404.25,3,1,7,537.97,5820.16,5820.16
13213,961.73,182.15,4,3,71,100,17.0,240.43,118.75,1,1,3,182.15,1518.43,1518.43
